,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL FUNC,,,31.88636364,,,,,,,,,,,,,,,,,,,,,,,,,
,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,TOTAL HS,MÉDIA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUI,,,,,,,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,,15:00:00,06:34:01,
SEX,,,,,,,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,,15:00:00,06:34:01,
SAB,,,,,,,1,1,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,1,,25:30:00,11:09:51,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100:30:00,44:00:00,
COMPRAS,Número de Funcionários necessário:,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
QUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
QUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
SEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
SAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,
LOJA,Número de Funcionários necessário:,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
QUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
QUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
SEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
SAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,
SAC,Número de Funcionários necessário:,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
QUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
QUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
SEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
SAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,
,Número de Funcionários necessário:,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
QUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
QUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
SEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
SAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,00:00:00,
